time-pyr1[s],Pyr-1[C],time-pyr2[s],Pyr-2[C],time-tc4[s],TC-4[C]
4.559,956.04,3.948,750.38,-9.9505,21.10036453
4.749,957.95,4.088,769.22,-9.8505,21.08688658
4.889,959.84,4.182,788.02,-9.7505,21.09316788
5.079,961.31,4.275,806.89,-9.6505,21.07876366
5.279,962.84,4.369,825.41,-9.5505,21.09592844
5.499,1115.74,4.463,843.56,-9.4505,21.09400677
5.669,1117.59,5.383,1088.53,-9.3505,21.0698844
5.839,1119.62,5.477,1090.06,-9.2505,21.07985392
6.009,1121.35,5.57,1091.24,-9.1505,21.08420479
6.149,1123.29,5.664,1092.79,-9.0505,21.07911001
7.039,1295.08,5.757,1093.72,-8.9505,21.08578516
7.199,1295.07,5.851,1163.91,-8.8505,21.10103806
7.399,1295.67,5.945,1164.86,-8.7505,21.07465351
7.539,1295.81,6.038,1165.95,-8.6505,21.09308521
7.709,1295.92,6.132,1167.04,-8.5505,21.09676748
7.879,1352.19,6.225,1168.24,-8.4505,21.09944794
8.039,1352.4,6.335,1219.95,-8.3505,21.09048628
8.199,1352.48,6.428,1220.95,-8.2505,21.09718309
8.379,1352.96,6.522,1221.74,-8.1505,21.10028915
8.539,1353.19,6.615,1222.41,-8.0505,21.10070486
8.739,1378.04,6.709,1223.17,-7.9505,21.10271204
8.879,1378.02,6.818,1263.46,-7.8505,21.10029154
9.039,1378.09,6.912,1264.1,-7.7505,21.09701656
9.179,1378.15,7.005,1264.65,-7.6505,21.09023691
9.319,1378.06,7.099,1265.24,-7.5505,21.09676973
9.539,1375.44,7.193,1265.82,-7.4505,21.09802671
9.679,1375.46,8.097,1349.46,-7.3505,21.09375502
9.829,1375.45,8.191,1349.57,-7.2505,21.0814526
9.999,1375.54,8.285,1349.43,-7.1505,21.08973843
10.149,1375.48,8.378,1349.56,-7.0505,21.09265837
10.319,1367.9,8.472,1349.91,-6.9505,21.08320076
10.489,1367.87,8.565,1358.9,-6.8505,21.08755278
10.679,1368.01,8.659,1358.63,-6.7505,21.05866274
10.849,1367.72,8.753,1358.81,-6.6505,21.1022986
11.019,1367.74,8.846,1358.99,-6.5505,21.09441753
11.209,1356.44,8.94,1358.82,-6.4505,21.07808886
11.389,1356.6,9.033,1359.59,-6.3505,21.11092365
11.549,1356.74,9.127,1359.54,-6.2505,21.08931061
11.739,1356.37,9.221,1359.37,-6.1505,21.08839508
11.909,1356.13,9.314,1359.55,-6.0505,21.08655596
12.079,1344.13,9.408,1359.43,-5.9505,21.07398489
12.239,1343.84,9.501,1356.61,-5.8505,21.08512503
12.389,1343.75,9.595,1356.78,-5.7505,21.07951488
12.579,1343.82,9.689,1356.75,-5.6505,21.07440786
12.749,1343.64,9.782,1356.76,-5.5505,21.07348389
12.889,1331.85,9.876,1356.65,-5.4505,21.09742867
13.059,1331.58,9.969,1352.41,-5.3505,21.1001251
13.229,1331.74,10.063,1352.45,-5.2505,21.08647203
13.359,1331.47,10.157,1352.33,-5.1505,21.10304625
13.499,1331.26,10.25,1352.22,-5.0505,21.09567827
13.689,1318.86,10.344,1352.62,-4.9505,21.07265139
13.859,1319.01,10.437,1347.21,-4.8505,21.07835032
14.029,1318.72,10.531,1347.24,-4.7505,21.08798071
14.169,1319.05,10.625,1346.87,-4.6505,21.09533901
14.339,1318.77,10.718,1346.86,-4.5505,21.09341467
14.479,1306.92,10.812,1347.09,-4.4505,21.09316545
14.639,1306.47,10.905,1341.46,-4.3505,21.07858841
14.779,1306.44,10.999,1341.59,-4.2505,21.08537308
14.919,1306.52,11.093,1341.24,-4.1505,21.08855795
15.059,1306.4,11.186,1341.18,-4.0505,21.08898352
15.249,1294.27,11.28,1341.49,-3.9505,21.09928024
15.389,1294.23,11.373,1335.31,-3.8505,21.10337814
15.529,1294.31,11.467,1335.32,-3.7505,21.09174196
15.679,1294.08,11.561,1335,-3.6505,21.08839872
15.859,1294.31,11.654,1335.14,-3.5505,21.09207987
15.999,1282.44,11.748,1335.05,-3.4505,21.08847912
16.139,1282.23,11.841,1328.3,-3.3505,21.09542522
16.279,1281.91,11.935,1328.42,-3.2505,21.07306938
16.479,1281.78,12.029,1328.45,-3.1505,21.08881454
16.669,1281.72,12.122,1328.44,-3.0505,21.07039379
17.009,1266.49,12.216,1328.24,-2.9505,21.07975801
17.179,1266.4,12.309,1321.48,-2.8505,21.06955378
17.339,1266.16,12.403,1321.76,-2.7505,21.07265247
17.519,1266.32,12.497,1321.46,-2.6505,21.07465944
17.699,1265.98,12.59,1321.51,-2.5505,21.07490858
17.879,1252.51,12.684,1321.7,-2.4505,21.07692297
18.069,1252.27,12.777,1314.74,-2.3505,21.0782518
18.229,1252.25,12.871,1314.41,-2.2505,21.07725605
18.399,1252.49,12.965,1314.15,-2.1505,21.06745308
18.589,1252.11,13.058,1314.54,-2.0505,21.09349863
18.759,1238.28,13.152,1314.5,-1.9505,21.08713457
18.899,1238.6,13.245,1307.31,-1.8505,21.08596027
19.069,1238.26,13.339,1307.54,-1.7505,21.08295269
19.239,1238.26,13.433,1307.35,-1.6505,21.08613279
19.399,1238.31,13.526,1307.18,-1.5505,21.07072321
19.569,1226.12,13.62,1307.29,-1.4505,21.07600163
19.739,1226.16,13.713,1299.9,-1.3505,21.09015318
19.899,1225.98,13.807,1299.84,-1.2505,21.07817522
20.099,1225.67,13.901,1300.04,-1.1505,21.09040228
20.249,1225.6,13.994,1300.06,-1.0505,21.08295147
20.429,1213.21,14.088,1299.79,-0.9505,21.10104164
20.599,1213.06,14.384,1289.99,-0.8505,21.1061438
20.799,1213,14.478,1289.77,-0.7505,21.10757339
20.989,1212.81,14.571,1289.72,-0.6505,21.09048723
21.169,1212.61,14.665,1289.59,-0.5505,21.08513123
21.379,1198.87,14.759,1289.64,-0.4505,21.08462055
21.559,1198.57,14.868,1282.28,-0.3505,21.07264887
21.709,1198.18,14.961,1281.86,-0.2505,21.08554583
21.889,1198.4,15.055,1281.87,-0.1505,21.08738871
22.049,1198.43,15.149,1282.01,-0.0505,21.09090317
22.239,1186.27,15.242,1281.51,0.0495,21.09375252
22.419,1186.11,15.336,1274.65,0.1495,21.09300606
22.629,1185.84,15.429,1274.61,0.2495,21.06678825
22.799,1186.16,15.523,1274.69,0.3495,21.10246155
22.979,1185.92,15.617,1274.55,0.4495,21.09635046
23.159,1173.22,15.71,1274.42,0.5495,21.08596029
23.329,1173.32,15.804,1267.39,0.6495,21.10480894
23.529,1173.12,15.897,1267.28,0.7495,21.09232536
23.689,1173.11,15.991,1267.26,0.8495,21.07742256
23.869,1173.11,16.085,1267.05,0.9495,21.0978554
24.229,1157.98,16.178,1267.02,1.0495,21.1068111
24.369,1158,16.272,1259.61,1.1495,21.09668476
24.539,1157.82,16.365,1259.72,1.2495,21.10606222
24.669,1157.81,16.459,1259.75,1.3495,21.11126518
24.859,1157.44,16.553,1259.62,1.4495,21.11661545
25.029,1146.63,16.646,1259.72,1.5495,21.11686815
25.179,1146.72,16.74,1252.29,1.6495,21.15680737
25.369,1146.33,16.833,1252.42,1.7495,21.19834972
25.559,1146.36,16.927,1252.14,1.8495,21.28517786
25.749,1146.16,17.021,1252.08,1.9495,21.40158506
25.959,1133.18,17.114,1252.2,2.0495,21.63422596
26.119,1132.72,17.208,1244.97,2.1495,22.0237796
26.339,1132.93,17.301,1244.85,2.2495,22.63953484
26.559,1132.81,17.395,1244.98,2.3495,23.6557254
26.729,1132.34,17.489,1244.23,2.4495,25.36374113
26.919,1118.69,17.582,1244.57,2.5495,28.19293272
27.099,1118.59,17.676,1237.89,2.6495,32.90026445
27.289,1118.68,17.769,1237.53,2.7495,40.7866851
27.449,1118.58,17.863,1237.52,2.8495,53.62304417
27.599,1118.25,17.957,1237.42,2.9495,72.14677341
27.769,1106.41,18.05,1237.31,3.0495,97.24472145
27.949,1106.32,18.144,1230.19,3.1495,132.0360183
28.149,1106.08,18.237,1229.96,3.2495,173.8393517
28.339,1105.94,18.331,1230.12,3.3495,218.9762218
28.489,1105.84,18.425,1230.27,3.4495,268.8803795
28.689,1092.98,18.518,1230.05,3.5495,323.2371164
28.879,1093.11,18.612,1223.3,3.6495,376.4963068
29.079,1092.54,18.705,1222.83,3.7495,425.5562106
29.289,1092.67,18.799,1223.01,3.8495,470.3263828
29.489,1092.58,18.893,1222.69,3.9495,511.3309937
29.649,1079.45,18.986,1222.63,4.0495,549.0631342
29.819,1079.07,19.08,1215.78,4.1495,583.6971594
29.989,1079.23,19.173,1215.69,4.2495,614.6244226
30.159,1078.99,19.267,1215.75,4.3495,642.0690582
30.299,1078.97,19.361,1215.38,4.4495,666.1438922
30.499,1067.12,19.454,1215.55,4.5495,686.8454437
30.679,1067.12,19.548,1208.66,4.6495,704.7673657
30.879,1067.13,19.641,1208.45,4.7495,720.8973895
31.069,1066.93,19.735,1208.45,4.8495,736.4492108
31.239,1066.85,19.829,1208.25,4.9495,752.5144745
31.469,1053.77,19.922,1208.34,5.0495,770.6494843
31.629,1053.5,20.016,1201.03,5.1495,790.3938007
31.809,1053.49,20.109,1201.36,5.2495,810.2970435
31.989,1053.33,20.203,1200.99,5.3495,830.9306519
32.159,1053.13,20.297,1201.28,5.4495,853.1328888
32.499,1040.17,20.39,1201.36,5.5495,876.4513031
32.639,1040.39,20.484,1194.41,5.6495,898.3432147
32.809,1040.02,20.577,1194.27,5.7495,917.046756
32.999,1039.72,20.671,1194.55,5.8495,933.6637115
33.139,1039.72,20.765,1193.98,5.9495,952.6975488
33.359,1028.82,20.858,1193.93,6.0495,973.8889178
33.549,1028.75,21.155,1184.64,6.1495,1002.101818
33.749,1028.39,21.248,1184.75,6.2495,1037.169011
33.939,1028.28,21.342,1184.37,6.3495,1065.126594
34.119,1028.31,21.435,1184.35,6.4495,1082.007456
34.309,1016.38,21.529,1184.31,6.5495,1095.473107
34.479,1015.85,21.623,1177.68,6.6495,1107.151646
34.699,1015.83,21.716,1177.64,6.7495,1117.194741
34.899,1015.83,21.81,1177.56,6.8495,1126.095454
35.109,1015.63,21.903,1177.4,6.9495,1135.064863
35.309,1003.45,21.997,1177.38,7.0495,1140.670077
35.479,1003.53,22.091,1170.87,7.1495,1147.140717
35.639,1003.17,22.184,1171.06,7.2495,1153.361794
35.839,1003.08,22.278,1170.59,7.3495,1159.484845
36.059,1002.94,22.371,1170.47,7.4495,1164.833881
36.279,991.26,22.465,1170.56,7.5495,1170.066769
36.479,991.2,22.559,1164.43,7.6495,1175.083174
36.669,991.01,22.652,1164.6,7.7495,1180.421523
36.839,990.86,22.746,1164.45,7.8495,1186.648977
37.039,990.74,22.855,1164.33,7.9495,1188.450969
37.269,979.35,22.949,1164.18,8.0495,1189.993473
37.479,979.33,23.042,1157.75,8.1495,1189.79293
37.699,978.95,23.136,1157.69,8.2495,1186.95533
37.879,979.2,23.229,1157.53,8.3495,1184.166473
38.049,979.06,23.323,1157.48,8.4495,1177.716459
38.269,967.44,23.417,1157.45,8.5495,1171.463298
38.429,967.6,23.51,1151,8.6495,1169.923741
38.619,966.94,23.604,1150.99,8.7495,1169.594701
38.789,967.31,23.697,1150.81,8.8495,1169.189417
38.969,966.92,23.791,1150.77,8.9495,1168.647292
39.159,958.11,23.885,1150.46,9.0495,1165.7812
39.349,957.89,23.994,1144.38,9.1495,1161.428168
39.539,957.94,24.087,1144.28,9.2495,910.1216058
39.709,957.96,24.181,1143.89,9.3495,762.2840436
39.909,958.03,24.275,1143.92,9.4495,774.7887054
,,24.368,1143.75,9.5495,788.0707318
,,24.477,1137.45,9.6495,803.1798486
,,24.571,1137.43,9.7495,835.4538269
,,24.665,1137.34,9.8495,869.8817542
,,24.758,1137.17,9.9495,883.6160529
,,24.852,1137.3,10.0495,895.7054895
,,24.945,1130.68,10.1495,906.7258838
,,25.039,1130.55,10.2495,917.5158105
,,25.133,1130.34,10.3495,925.3743274
,,25.226,1130.29,10.4495,964.5917255
,,25.32,1129.93,10.5495,966.0216119
,,25.429,1123.79,10.6495,973.5540222
,,25.523,1123.42,10.7495,980.2691858
,,25.616,1123.49,10.8495,986.0787445
,,25.71,1123.43,10.9495,991.2971899
,,25.803,1123.41,11.0495,994.9593231
,,25.897,1116.85,11.1495,998.824342
,,25.991,1116.75,11.2495,1002.040533
,,26.084,1116.6,11.3495,1004.870299
,,26.178,1116.79,11.4495,1006.717467
,,26.271,1116.32,11.5495,1010.014565
,,26.365,1110.11,11.6495,1014.189917
,,26.459,1110.06,11.7495,1018.355228
,,26.552,1109.86,11.8495,1021.36801
,,26.646,1109.85,11.9495,1024.649783
,,26.739,1109.66,12.0495,1027.966954
,,26.849,1103.41,12.1495,1031.223114
,,26.942,1103.2,12.2495,1034.74817
,,27.036,1103.21,12.3495,1037.216768
,,27.129,1102.96,12.4495,1040.548647
,,27.223,1102.73,12.5495,1043.88114
,,27.317,1096.18,12.6495,1047.230492
,,27.41,1096.18,12.7495,1050.250696
,,27.504,1095.51,12.8495,1052.937825
,,27.597,1096.02,12.9495,1055.396405
,,27.691,1095.92,13.0495,1057.674031
,,27.8,1089.35,13.1495,1059.757495
,,27.894,1089.26,13.2495,1061.631094
,,27.987,1089.36,13.3495,1063.399407
,,28.081,1089.11,13.4495,1053.345466
,,28.175,1088.98,13.5495,1072.586035
,,28.471,1080.04,13.6495,1076.369619
,,28.565,1079.75,13.7495,1077.480848
,,28.658,1079.67,13.8495,1078.347257
,,28.767,1079.72,13.9495,1079.042347
,,28.877,1079.61,14.0495,1079.565658
,,28.986,1072.79,14.1495,1079.773361
,,29.079,1072.7,14.2495,1079.923639
,,29.173,1072.38,14.3495,1080.049078
,,29.267,1072.26,14.4495,1080.008401
,,29.36,1072.05,14.5495,1079.881346
,,29.454,1065.97,14.6495,1079.580614
,,29.547,1065.73,14.7495,1079.265117
,,29.641,1065.9,14.8495,1078.809011
,,29.735,1065.56,14.9495,1078.212589
,,29.828,1065.11,15.0495,1077.58676
,,29.922,1059.23,15.1495,1076.977343
,,30.015,1059.28,15.2495,1104.770778
,,30.109,1059.11,15.3495,1115.210559
,,30.203,1058.96,15.4495,1114.540754
,,30.296,1058.76,15.5495,1113.467697
,,30.39,1052.91,15.6495,1112.199408
,,30.483,1052.81,15.7495,1109.032856
,,30.577,1052.34,15.8495,1106.530302
,,30.671,1052.33,15.9495,1104.166812
,,30.764,1052.08,16.0495,1102.154153
,,30.905,1045.87,16.1495,1104.052211
,,30.998,1045.63,16.2495,1099.236981
,,31.092,1045.58,16.3495,1096.055837
,,31.185,1045.42,16.4495,1094.032684
,,31.279,1045.08,16.5495,1092.733723
,,31.373,1039.19,16.6495,1093.727571
,,31.466,1039.28,16.7495,1096.373127
,,31.56,1039.14,16.8495,1093.543333
,,31.654,1039.03,16.9495,1091.608896
,,31.747,1038.61,17.0495,1090.39264
,,31.841,1032.68,17.1495,1088.304784
,,31.934,1032.94,17.2495,1100.24417
,,32.028,1032.52,17.3495,1099.68941
,,32.122,1032.54,17.4495,1097.717682
,,32.215,1032.16,17.5495,1095.854126
,,32.324,1026.6,17.6495,1093.812159
,,32.418,1026.54,17.7495,1092.113914
,,32.512,1026.27,17.8495,1090.426156
,,32.605,1026.22,17.9495,1088.742157
,,32.699,1026.21,18.0495,1087.079692
,,32.792,1020.23,18.1495,1085.505189
,,32.886,1020.1,18.2495,1084.029175
,,32.98,1020.12,18.3495,1082.702632
,,33.073,1019.98,18.4495,1081.552074
,,33.167,1019.8,18.5495,1081.266033
,,33.26,1014.32,18.6495,1080.269069
,,33.354,1014.18,18.7495,1078.646018
,,33.448,1013.55,18.8495,1077.015697
,,33.541,1014.05,18.9495,1075.415668
,,33.635,1013.62,19.0495,1073.885177
,,33.728,1007.96,19.1495,1072.345725
,,33.822,1007.8,19.2495,1070.797124
,,33.916,1007.82,19.3495,1069.297545
,,34.009,1007.71,19.4495,1067.757275
,,34.103,1007.27,19.5495,1066.318103
,,34.196,1002.11,19.6495,1064.847375
,,34.29,1001.94,19.7495,1063.3409
,,34.384,1001.46,19.8495,1061.942036
,,34.477,1001.51,19.9495,1060.52911
,,34.571,1001.33,20.0495,1059.09449
,,34.664,996.03,20.1495,1057.714092
,,34.758,996.02,20.2495,1056.326693
,,34.898,995.92,20.3495,1054.872377
,,34.992,995.49,20.4495,1053.373599
,,35.086,995.57,20.5495,1051.860673
,,35.179,989.5,20.6495,1050.325864
,,35.273,989.31,20.7495,1048.726913
,,35.366,989.2,20.8495,1047.213094
,,35.46,989.09,20.9495,1045.738334
,,35.554,988.58,21.0495,1044.299058
,,35.647,983.43,21.1495,1042.845533
,,35.741,983.33,21.2495,1041.414338
,,35.834,983.35,21.3495,1039.999792
,,35.928,983.09,21.4495,1038.576725
,,36.022,983.32,21.5495,1037.092488
,,36.131,977.82,21.6495,1035.677944
,,36.224,977.61,21.7495,1034.26761
,,36.318,977.49,21.8495,1032.86132
,,36.412,977.05,21.9495,1031.416302
,,36.505,977.19,22.0495,1029.972185
,,36.802,971.42,22.1495,1028.520912
,,36.895,971.28,22.2495,1027.032251
,,36.989,971,22.3495,1025.466918
,,37.082,970.74,22.4495,1023.894482
,,37.192,965.24,22.5495,1022.343729
,,37.285,965.41,22.6495,1020.850781
,,37.379,964.86,22.7495,1019.329615
,,37.472,964.75,22.8495,1017.896696
,,37.566,964.46,22.9495,1016.378568
,,37.675,959.47,23.0495,1014.898087
,,37.769,959.19,23.1495,1013.436053
,,37.862,959.15,23.2495,1012.004926
,,37.956,958.81,23.3495,1010.561008
,,38.05,958.56,23.4495,1009.170659
,,38.143,953.81,23.5495,1007.745258
,,38.237,953.62,23.6495,1006.362257
,,38.33,953.41,23.7495,1004.941895
,,38.424,953.38,23.8495,1003.547246
,,38.518,953.02,23.9495,1002.182886
,,38.627,948.94,24.0495,1000.770388
,,38.72,948.73,24.1495,999.4468677
,,38.814,948.32,24.2495,998.1752179
,,38.908,948.18,24.3495,996.8874805
,,39.001,948.12,24.4495,995.5825391
,,39.11,944.02,24.5495,994.3335242
,,39.204,944.04,24.6495,993.039613
,,39.298,943.98,24.7495,991.7926715
,,39.391,943.55,24.8495,990.4930811
,,39.485,943.47,24.9495,989.2992303
,,39.594,939.89,25.0495,988.0395154
,,39.688,939.86,25.1495,986.7993567
,,39.781,939.46,25.2495,985.522157
,,39.875,939.36,25.3495,984.270722
,,39.968,939.01,25.4495,983.0680066
,,40.078,936.04,25.5495,981.822666
,,40.171,936.1,25.6495,980.6110187
,,40.265,935.65,25.7495,979.3525525
,,40.358,935.41,25.8495,978.1006885
,,40.452,935.48,25.9495,976.8919653
,,40.546,932,26.0495,975.6629211
,,40.639,932.07,26.1495,974.4793494
,,40.733,931.82,26.2495,973.2615179
,,40.826,931.55,26.3495,972.0182739
,,40.92,931.63,26.4495,970.8158167
,,41.029,928.28,26.5495,969.6033313
,,41.123,928.31,26.6495,968.4092303
,,41.216,928.35,26.7495,967.2548413
,,41.31,927.9,26.8495,966.0180164
,,41.404,927.9,26.9495,964.8315332
,,41.513,924.81,27.0495,963.6582397
,,41.606,924.13,27.1495,962.4801208
,,41.7,924.4,27.2495,961.2581842
,,41.794,924.14,27.3495,960.0865948
,,41.887,924.27,27.4495,958.873515
,,41.996,920.71,27.5495,957.7284772
,,42.09,920.06,27.6495,956.5525195
,,42.184,920.39,27.7495,955.3449683
,,42.277,920.05,27.8495,954.1744342
,,42.371,920.11,27.9495,953.0568347
,,42.464,916.23,28.0495,951.8780365
,,42.558,915.78,28.1495,950.698161
,,42.652,915.97,28.2495,949.5062262
,,42.745,915.85,28.3495,948.330769
,,42.839,915.62,28.4495,947.1772223
,,42.948,911.64,28.5495,946.0513342
,,43.042,911.78,28.6495,944.8905194
,,43.135,911.45,28.7495,943.7128851
,,43.229,911.41,28.8495,942.5980267
,,43.322,911.13,28.9495,941.4316101
,,43.432,907.35,29.0495,940.271048
,,43.525,906.83,29.1495,939.1275952
,,43.619,907.01,29.2495,937.9793982
,,43.712,906.91,29.3495,936.8489221
,,43.806,906.64,29.4495,935.7199353
,,43.915,902.89,29.5495,934.5683057
,,44.009,902.66,29.6495,933.430144
,,44.102,902.61,29.7495,932.2826025
,,44.196,902.34,29.8495,931.1667505
,,44.29,902.31,29.9495,930.0142078
,,44.399,898.59,30.0495,928.9031201
,,44.492,898.4,30.1495,927.7782391
,,44.586,898.3,30.2495,926.639328
,,44.68,898.23,30.3495,925.5226343
,,44.773,897.71,30.4495,924.3969165
,,44.867,894.25,30.5495,923.2941144
,,44.96,894.1,30.6495,922.2094336
,,45.054,893.79,30.7495,921.0969287
,,45.148,893.89,30.8495,919.9676251
,,45.241,893.75,30.9495,918.8546185
,,45.35,889.96,31.0495,917.7153613
,,45.444,889.84,31.1495,916.576507
,,45.538,889.76,31.2495,915.5037256
,,45.834,887.1,31.3495,914.4322577
,,45.928,886.82,31.4495,913.3481781
,,46.021,886.65,31.5495,912.2268945
,,46.115,886.25,31.6495,911.1326093
,,46.224,882.5,31.7495,910.0720105
,,46.318,882.15,31.8495,908.9693005
,,46.411,882.23,31.9495,907.915722
,,46.505,881.82,32.0495,906.8332275
,,46.598,881.71,32.1495,905.7638544
,,46.692,881.33,32.2495,904.6766077
,,46.786,877.52,32.3495,903.6106445
,,46.879,877.33,32.4495,902.5544861
,,46.973,877.08,32.5495,901.4966614
,,47.066,876.66,32.6495,900.3888348
,,47.16,876.72,32.7495,899.3587421
,,47.254,876.24,32.8495,898.3112769
,,47.363,872.63,32.9495,897.2801166
,,47.456,872.58,33.0495,896.2056451
,,47.55,872.13,33.1495,895.1569293
,,47.644,871.99,33.2495,894.0770148
,,47.737,871.78,33.3495,893.0649121
,,47.831,871.51,33.4495,892.0101648
,,47.924,867.65,33.5495,890.956524
,,48.018,867.64,33.6495,889.941062
,,48.112,867.21,33.7495,888.8951105
,,48.205,867.23,33.8495,887.8679504
,,48.299,866.93,33.9495,886.8176459
,,48.392,866.7,34.0495,885.8147223
,,48.502,863.08,34.1495,884.7804669
,,48.595,862.87,34.2495,883.7667798
,,48.689,862.46,34.3495,882.7425531
,,48.782,862.32,34.4495,881.7657947
,,48.892,862.21,34.5495,880.7742633
,,48.985,861.94,34.6495,879.7751843
,,49.094,857.86,34.7495,878.7790491
,,49.188,857.84,34.8495,877.8216217
,,49.282,857.53,34.9495,876.8187085
,,49.375,857.3,35.0495,875.8870251
,,49.469,857.07,35.1495,874.9041736
,,49.562,857.1,35.2495,873.9033514
,,49.656,853.14,35.3495,872.9745093
,,49.75,853.14,35.4495,872.03505
,,49.843,852.78,35.5495,871.0720026
,,49.937,852.57,35.6495,870.1862976
,,50.03,852.29,35.7495,869.25638
,,50.124,852.2,35.8495,868.371413
,,50.233,848.36,35.9495,867.4985779
,,50.327,847.98,36.0495,866.5995886
,,50.42,847.86,36.1495,865.6982391
,,50.514,847.49,36.2495,864.8437939
,,50.608,847.79,36.3495,863.9914471
,,50.701,847.18,36.4495,863.1313983
,,50.795,843.2,36.5495,862.3173315
,,50.888,843.04,36.6495,861.4727563
,,50.982,842.94,36.7495,860.6737378
,,51.076,842.75,36.8495,859.8617603
,,51.169,842.64,36.9495,859.0745306
,,51.263,842.32,37.0495,858.2624683
,,51.372,838.29,37.1495,857.5216278
,,51.466,838.33,37.2495,856.761817
,,51.559,838.21,37.3495,856.0061902
,,51.653,838.1,37.4495,855.3361639
,,51.746,837.53,37.5495,854.7714026
,,51.84,837.7,37.6495,854.1543542
,,51.934,833.6,37.7495,853.5455157
,,52.027,833.45,37.8495,852.9095105
,,52.121,833.28,37.9495,852.2644043
,,52.214,833.14,38.0495,851.5310883
,,52.308,832.93,38.1495,850.8210242
,,52.402,832.55,38.2495,850.0957196
,,52.511,829.18,38.3495,849.361076
,,52.604,828.81,38.4495,848.6180756
,,52.698,828.7,38.5495,847.8545789
,,52.792,828.36,38.6495,847.0710413
,,52.885,828.5,38.7495,846.3223462
,,52.979,828.05,38.8495,845.5355957
,,53.275,823.75,38.9495,844.7710297
,,53.369,823.42,39.0495,843.9552112
,,53.462,823,39.1495,843.1466614
,,53.556,822.52,39.2495,842.315788
,,53.65,822.29,39.3495,841.5043213
,,53.774,818.81,39.4495,840.6903375
,,53.868,818.43,39.5495,839.8769403
,,53.962,818.11,39.6495,839.0196442
,,54.055,817.95,39.7495,838.1663007
,,54.149,817.71,39.8495,837.3463849
,,54.242,817.11,39.9495,836.4832501
,,54.336,817.01,40.0495,835.5979425
,,54.445,813.59,40.1495,834.7494421
,,54.539,813.37,40.2495,833.8594647
,,54.632,812.73,40.3495,832.9690814
,,54.726,812.59,40.4495,832.1478192
,,54.82,812.4,40.5495,831.2473956
,,54.913,812.05,40.6495,830.3775006
,,55.007,811.79,40.7495,829.4949652
,,55.132,808.25,40.8495,828.6227997
,,55.225,808.07,40.9495,827.7149414
,,55.319,807.7,41.0495,826.8395154
,,55.412,807.32,41.1495,825.98875
,,55.506,807.14,41.2495,825.1010406
,,55.6,806.84,41.3495,824.186983
,,55.693,806.45,41.4495,823.3096289
,,55.802,803.1,41.5495,822.4331213
,,55.896,802.79,41.6495,821.5418921
,,55.99,802.65,41.7495,820.6652063
,,56.083,802.58,41.8495,819.778421
,,56.177,802.16,41.9495,818.905835
,,56.27,801.51,42.0495,818.0215552
,,56.364,801.32,42.1495,817.1729486
,,56.473,798.03,42.2495,816.2887433
,,56.567,797.93,42.3495,815.4433429
,,56.66,797.49,42.4495,814.5772845
,,56.754,797.06,42.5495,813.7019342
,,56.863,796.96,42.6495,812.8505725
,,56.957,796.52,42.7495,812.0041705
,,57.05,796.28,42.8495,811.1314203
,,57.16,793.08,42.9495,810.2867474
