Functions|rod_specific_power|scale_factor,ThermalContact|thermal_contact|gap_conductivity,Materials|fuel_thermal|thermal_conductivity_scale_factor,Materials|fuel_thermal|specific_heat_scale_factor,Materials|clad_thermal|thermal_conductivity_scale_factor,Materials|clad_thermal|specific_heat_scale_factor,ThermalContact|thermal_contact|roughness_fuel,ThermalContact|thermal_contact|roughness_clad,ThermalContact|thermal_contact|roughness_coef,ThermalContact|thermal_contact|emissivity_primary,ThermalContact|thermal_contact|emissivity_secondary,ThermalContact|thermal_contact|contact_coef,ThermalContact|thermal_contact|gascond_scalef,ThermalContact|thermal_contact|kennard_coefficient,ProbabilityWeight-ThermalContact|thermal_contact|gascond_scalef,PointProbability,ProbabilityWeight-Functions|rod_specific_power|scale_factor,ProbabilityWeight-Materials|fuel_thermal|specific_heat_scale_factor,ProbabilityWeight-ThermalContact|thermal_contact|gap_conductivity,ProbabilityWeight-ThermalContact|thermal_contact|roughness_clad,ProbabilityWeight-Materials|clad_thermal|specific_heat_scale_factor,ProbabilityWeight-Materials|fuel_thermal|thermal_conductivity_scale_factor,prefix,ProbabilityWeight-ThermalContact|thermal_contact|emissivity_primary,ProbabilityWeight-Materials|clad_thermal|thermal_conductivity_scale_factor,ProbabilityWeight-ThermalContact|thermal_contact|contact_coef,ProbabilityWeight-ThermalContact|thermal_contact|emissivity_secondary,ProbabilityWeight,ProbabilityWeight-ThermalContact|thermal_contact|roughness_coef,ProbabilityWeight-ThermalContact|thermal_contact|roughness_fuel,ProbabilityWeight-ThermalContact|thermal_contact|kennard_coefficient
1,0.342386767585,1,1,1,1,2.0e-6,1.0e-6,0.64304566058,0.8,0.325,20,1.,0.2173,1.0,2.11691951474e+17,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.9465,0.342386767585,0.8932,0.9351,0.9907,1.1763,2.0277e-6,9.9368e-7,0.64304566058,0.79059,0.3287,20.2756,0.9758,0.21935,1.0,2.11691951474e+17,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
