temp,grainRadius,igDiffCoeff,resolution,gbDiffCoeff,prefix,filename
1.0035,0.92664,2.3594,8.89,6.886,0,BISON_FGR100_0.csv
1.0172,0.66122,7.1863,6.1093,4.1256,1,BISON_FGR100_1.csv
0.95653,1.1039,4.7753,5.7085,3.6419,2,BISON_FGR100_2.csv
1.0093,1.0279,8.9237,5.2471,8.0982,3,BISON_FGR100_3.csv
1.0246,0.59042,9.4865,4.6916,6.3122,4,BISON_FGR100_4.csv
0.96362,1.069,8.7508,6.3782,6.3448,5,BISON_FGR100_5.csv
1.0362,0.76163,9.7056,1.7565,5.7811,6,BISON_FGR100_6.csv
0.97376,0.9088,5.8522,2.7093,1.3496,7,BISON_FGR100_7.csv
0.95419,1.3192,5.5808,7.0951,0.97602,8,BISON_FGR100_8.csv
0.95397,0.86909,9.0357,8.9425,2.0053,9,BISON_FGR100_9.csv
0.97287,1.2451,3.2762,5.9075,7.5906,10,BISON_FGR100_10.csv
1.0161,0.44762,3.9886,9.3433,9.8411,11,BISON_FGR100_11.csv
1.0312,1.2372,8.7094,4.0377,3.8869,12,BISON_FGR100_12.csv
0.95028,1.4941,8.4759,8.327,9.7156,13,BISON_FGR100_13.csv
0.99291,1.1272,6.2365,4.5984,2.4574,14,BISON_FGR100_14.csv
0.9994,1.3482,7.2727,0.21865,7.7354,15,BISON_FGR100_15.csv
1.0403,1.4675,5.9743,9.104,9.6424,16,BISON_FGR100_16.csv
0.96113,1.2987,6.7926,5.0176,1.156,17,BISON_FGR100_17.csv
1.0274,1.2865,8.8495,9.8091,7.6262,18,BISON_FGR100_18.csv
0.97659,1.1415,2.415,8.554,2.7014,19,BISON_FGR100_19.csv
1.044,0.80162,2.6861,6.2854,8.1503,20,BISON_FGR100_20.csv
1.007,0.48713,3.915,2.1729,4.3641,21,BISON_FGR100_21.csv
1.0199,1.3854,0.89757,3.0833,5.5974,22,BISON_FGR100_22.csv
1.0027,0.81126,0.6924,2.5471,4.2628,23,BISON_FGR100_23.csv
0.99844,0.63849,2.2182,3.5642,7.8357,24,BISON_FGR100_24.csv
0.96942,0.70412,7.4218,0.78151,8.3786,25,BISON_FGR100_25.csv
1.0398,0.95856,7.723,9.4239,2.1058,26,BISON_FGR100_26.csv
0.99459,0.64058,3.1366,4.8586,9.5563,27,BISON_FGR100_27.csv
0.98894,1.3632,1.3461,6.6055,3.0539,28,BISON_FGR100_28.csv
0.98341,0.52521,7.4702,4.5369,5.4411,29,BISON_FGR100_29.csv
0.97796,0.96684,1.4369,8.191,1.6982,30,BISON_FGR100_30.csv
