temp,grainRadius,igDiffCoeff,resolution,gbDiffCoeff,prefix,filename
1.029,0.88144,6.2299,0.50864,3.9401,0,BISON_FGR25_0.csv
0.99962,1.0477,9.0098,3.4028,1.9238,1,BISON_FGR25_1.csv
0.98548,1.1258,7.2639,5.6714,9.5171,2,BISON_FGR25_2.csv
1.0169,1.362,1.425,9.3929,4.3745,3,BISON_FGR25_3.csv
1.0093,0.79509,2.4196,7.9198,6.2098,4,BISON_FGR25_4.csv
1.0128,0.97794,4.1523,2.1185,7.183,5,BISON_FGR25_5.csv
0.97989,0.86331,0.66273,6.7017,0.55168,6,BISON_FGR25_6.csv
0.98955,0.4755,8.7432,1.8686,5.3037,7,BISON_FGR25_7.csv
0.96211,1.5767,3.0735,1.2092,3.4607,8,BISON_FGR25_8.csv
1.0423,1.3222,5.4872,8.5062,1.2147,9,BISON_FGR25_9.csv
0.97367,0.42546,2.5659,0.15006,8.4255,10,BISON_FGR25_10.csv
1.0376,1.2825,9.2267,3.0739,5.0171,11,BISON_FGR25_11.csv
1.0418,0.51798,4.5496,1.6639,0.43522,12,BISON_FGR25_12.csv
0.99693,1.476,0.9109,3.677,7.2803,13,BISON_FGR25_13.csv
1.0193,0.56462,9.9429,6.3283,9.9079,14,BISON_FGR25_14.csv
1.0223,1.1033,3.507,5.0041,1.5273,15,BISON_FGR25_15.csv
1.0465,0.9403,1.7859,2.7769,8.1238,16,BISON_FGR25_16.csv
0.9931,0.68969,4.865,8.2899,2.3528,17,BISON_FGR25_17.csv
0.95817,0.66833,7.8354,4.2745,2.8299,18,BISON_FGR25_18.csv
1.0054,1.4515,8.3244,9.8527,8.8564,19,BISON_FGR25_19.csv
0.97444,1.526,3.9654,9.1191,4.7957,20,BISON_FGR25_20.csv
1.0325,0.7443,6.9824,7.0946,5.8871,21,BISON_FGR25_21.csv
0.95635,0.61286,6.5535,4.7992,6.8251,22,BISON_FGR25_22.csv
0.95011,1.2159,5.8206,5.6208,3.2256,23,BISON_FGR25_23.csv
0.96697,1.2211,0.46084,7.2804,7.7674,24,BISON_FGR25_24.csv
