time,fgr
0.0,0.44762922511177
0.73961,0.4476294448138578
1.4792,0.4476282379229594
2.2188,0.4476232039663136
2.9584,0.4476138132552941
3.698,0.4476029259530002
4.4376,0.45064761223063016
5.1772,0.45555758945714697
5.9168,0.4604622168730905
6.6565,0.46536559685784956
7.3961,0.47020141226376044
8.1357,0.5070746434308987
8.8753,0.64186744335608
9.6149,0.7633144590402308
10.354,0.8738856476639236
11.094,0.9755454044736371
11.834,1.0618696678974946
12.573,1.2025512254353652
13.313,1.3513805397759675
14.053,1.496090752394076
14.792,1.6406054106708083
15.532,1.7709256934893494
16.271,1.968885012928569
17.011,2.284983759727453
17.751,2.566875271455052
18.49,2.8163423008331403
19.23,3.0403206432684238
19.969,3.263996312267984
20.709,3.7937426669126797
21.449,4.198556710242807
22.188,4.555564282954357
22.928,4.847646317713664
23.667,5.139333647020594
24.407,5.847608128078015
25.147,6.464404904742558
25.886,7.0803681722494485
26.626,7.557182614469774
27.365,7.9409127798593
28.105,8.735959345655887
28.845,9.618697578741322
29.584,10.500242922322595
30.324,11.153251491008742
31.063,11.72398886105061
31.803,12.295498541471428
32.543,12.867008221892243
33.282,13.43774559193411
34.022,13.793778575163959
34.761,14.119451732993598
35.501,14.445565585218134
36.241,14.771679437442671
36.98,15.097352595272305
37.72,15.423466447496843
38.46,15.74958029972138
39.199,16.075253457551014
39.939,16.40136730977555
40.678,16.703110856407182
41.418,16.877731162454243
42.158,17.052351468501303
42.897,17.226735801161812
43.637,17.40135610720887
44.376,17.575740439869378
45.116,17.75036074591644
45.856,17.924981051963496
46.595,18.099365384624
47.335,18.27398569067106
48.074,18.44837002333157
48.814,18.622990329378627
49.554,20.587610211703275
50.293,20.63207993778337
51.033,20.760585696181423
51.772,20.824526886684144
52.512,20.90452235844775
53.252,20.987331149488984
53.991,21.08653508291292
54.731,21.18753330601706
55.47,21.28839504503592
56.21,21.389955672592784
56.95,21.49997947076966
57.689,21.609854588138187
58.429,21.719878386315067
59.168,21.82975350368359
59.908,21.939777301860467
60.648,22.049801100037342
61.387,22.159676217405874
62.127,22.265598836417915
62.867,22.364555433120806
63.606,22.463378304693023
64.346,22.562334901395914
65.085,22.661157772968124
65.825,22.76011436967102
66.565,22.859070966373913
67.304,22.957893837946123
68.044,23.056850434649018
68.783,23.15567330622123
69.523,23.254629902924123
70.263,23.353586499627017
71.002,23.452409371199227
71.742,24.610427677976137
72.481,24.718729959811537
73.221,24.748406006885013
