time,fgr
0.0,6.9384426520513
0.73961,6.938426919431857
1.4792,6.938408212163642
2.2188,6.938330183919694
2.9584,6.938184624324677
3.698,6.93801880346359
4.4376,6.962284742871713
5.1772,7.001109664237923
5.9168,7.03955176609022
6.6565,7.077886068725051
7.3961,7.115511088525428
8.1357,7.367352446299487
8.8753,8.170755569812922
9.6149,8.821351929655776
10.354,9.365327613892383
11.094,9.858877028301636
11.834,10.26581760898583
12.573,10.987061453875096
13.313,11.604866518853756
14.053,12.085818778754234
14.792,12.566121103168362
15.532,13.010633305553906
16.271,13.993670989849573
17.011,14.917764748313623
17.751,15.589883053186474
18.49,16.146198286775913
19.23,16.610664111322123
19.969,17.07450227934868
20.709,18.00211923060239
21.449,18.650653561234467
22.188,19.20009497875635
22.928,19.61434492817849
23.667,20.028035080371684
24.407,20.888994639557687
25.147,21.55688543119584
25.886,22.223873667710166
26.626,22.734756604904575
27.365,23.141266108591406
28.105,23.924041131498374
28.845,24.680142692039944
29.584,25.435222493715926
30.324,25.962699176863627
31.063,26.408465703611483
31.803,26.854835432695943
32.543,27.3012051617804
33.282,27.746971688528255
34.022,28.01609617017574
34.761,28.260279567528364
35.501,28.50479338896401
36.241,28.749307210399657
36.98,28.993490607752282
37.72,29.238004429187928
38.46,29.482518250623578
39.199,29.7267016479762
39.939,29.97121546941185
40.678,30.19884287405493
41.418,30.338544042025212
42.158,30.4782452099955
42.897,30.617757592603663
43.637,30.757458760573947
44.376,30.896971143182114
45.116,31.0366723111524
45.856,31.17637347912268
46.595,31.315885861730848
47.335,31.455587029701135
48.074,31.595099412309295
48.814,31.734800580279586
49.554,34.275834751727494
50.293,34.312988197985796
51.033,34.43843706214645
51.772,34.509321120949245
52.512,34.58847978799244
53.252,34.66907285886189
53.991,34.75549715918673
54.731,34.84263578363175
55.47,34.92965665317887
56.21,35.017096505784835
56.95,35.10906929782481
57.689,35.20091780230798
58.429,35.29289059434796
59.168,35.38473909883112
59.908,35.4767118908711
60.648,35.56868468291108
61.387,35.66053318739425
62.127,35.74945106465135
62.867,35.83318004289314
63.606,35.916795873867045
64.346,36.00052485210883
65.085,36.08414068308273
65.825,36.16786966132452
66.565,36.25159863956631
67.304,36.33521447054021
68.044,36.418943448782
68.783,36.5025592797559
69.523,36.58628825799769
70.263,36.67001723623948
71.002,36.75363306721338
71.742,38.40567793330524
72.481,38.61315564830806
73.221,38.64399264671387
